# Protein-1,# Protein-2
KPNA6,STAT5B
KPNA6,TP53
KPNB1,ABL1
KPNB1,LAMR1
KPNB1,NUP153
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMARCC2
KPNB1,STAT1
KPNB1,TRAF2
KRT8,KRT18
KRT17,KRT18
KRT17,SFN
KRT18,RIPK1
LAMR1,NCOA3
LAMR1,PSMC2
LAMR1,RAN
LAMR1,RPL4
LAMR1,RPL8
LAMR1,SMAD3
LAMR1,TP53
LYN,ABL1
LYN,MET
LYN,NCK2
LYN,PIK3CD
LYN,PIK3R2
LYN,PLD2
LYN,PRKCA
LYN,PTK2
LYN,PTPN12
LYN,SHC1
LYN,SOCS5
LYN,SRC
LYN,STAT1
LYN,STAT2
LYN,STAT3
LYN,STAT5B
LYN,TGFB1
LYN,TGFBR2
MAML1,CCND1
MAML1,CTNNB1
MAML1,HES1
MAML1,NOTCH2
MAML1,NOTCH3
MAML1,PIAS1
MAML1,SNW1
MAML1,TP53
MAP1B,PLD2
MAP3K4,CDC42
MAP3K4,DVL1
MAP3K4,FLNA
MAP3K4,PRKCA
MAP3K4,PRKCB
MAP3K4,RAC1
MAPK14,ATF2
MAPK14,CDC42
MAPK14,KRT8
MAPK14,MITF
MAPK14,NCOA3
MAPK14,NFKB1
MAPK14,RAC1
MAPK14,RELA
MAPK14,SHC1
MAPK14,SMAD3
MAPK14,STAT1
MAPK14,STAT3
MAPK14,TAB2
MAPK14,TP53
MCM5,MCM7
MCM5,STAT1
MCM5,TFDP1
MCM7,TFDP1
MCM7,TRAF2
MEK1,AKT1
MEK1,CDC42
MEK1,HES1
MEK1,MAPK14
MEK1,SMAD3
MEK1,WNT5A
MEK2,MAPK14
MEK3,ATF2
MEK3,MAP3K4
MEK3,MAPK14
MEK3,NFKB1
MEK3,PKN1
MEK3,RAC1
MEK3,RIPK1
MEK3,TAB2
MEK3,TP53
MET,ABL1
MET,APC
MET,NCK2
MET,PIK3R2
MET,RAN
MET,SHC1
MET,SRC
MET,STAT1
MET,STAT3
MET,STAT5B
MET,WASL
MIG6,RPL30
MIG6,RPL4
MIG6,RPL6
MIG6,RPL8
MIG6,RPS11
MIG6,UXT
MITF,MYC
MITF,NCOA3
MKP1,FOS
MKP1,JUNB
MKP1,MAPK14
MKP1,NFKB1
MKP1,RAC1
MKP1,SKP2
MKP1,TP53
MYC,NCOA3
NCK2,ABL1
NCK2,PIK3R2
NCK2,PTK2
NCK2,SMAD1
NCK2,SMAD3
NCK2,SRC
NCK2,STAT1
NCK2,STAT3
NCK2,STAT5B
NCK2,TGFB1
NCK2,WASL
NFKB2,AKT1
NFKB2,APP
NFKB2,BTRC
NFKB2,CCND1
NFKB2,NFKB1
NFKB2,RELA
NFKB2,SP1
NFKB2,TRAF2
NGAP,AKT1
NGAP,CAV2
NGAP,CDK7
NGAP,DAB2
NGAP,HRAS
NGAP,NFKB2
NIK,AKT1
NIK,CASP2
NIK,FADD
NIK,HSPA8
NIK,NFKB1
NIK,NFKB2
NIK,RELA
NIK,RIPK1
NIK,SP1
NIK,TP53
NIK,TRAF2
NKIRAS1,AKT1
NKIRAS1,NFKB1
NKIRAS1,NFKB2
NKIRAS1,RELA
NKIRAS1,TRAF2
NOTCH2,NOTCH3
NOTCH2,SMAD3
NR3C1,BAG1
NR3C1,CALR
NR3C1,FOS
NR3C1,HDAC2
NR3C1,HDAC6
NR3C1,NCOA3
NR3C1,NCOR1
NR3C1,NFKB1
NR3C1,RELA
NR3C1,SMARCA4
NR3C1,SP1
NR3C1,STAT3
NR3C1,STAT5B
NR3C1,TP53
NSMAF,GRB10
NSMAF,MAP3K4
NSMAF,TRAF2
NUP153,EPS15
NUP153,ERBB2
NUP153,RANBP9
P204,LYN
PAF53,POLR1B
PAK1,AKT1
PAK1,CASP3
PAK1,FLNA
PAK1,GIT1
PAK1,GRB10
PAK1,GRB2
PAK1,NCK2
PAK1,PXN
PAK1,RAC1
PAK1,RHOA
PAPOLA,CTBP1
PAPOLA,CUL1
PAPOLA,KPNB1
PCAF,SMAD1
PCAF,SMAD3
PCAF,SMARCA4
PCAF,STAT1
PCAF,STK11
PCAF,TRAF2
PEN2,APH1A
PEN2,APP
PEN2,CTNNB1
PEN2,NOTCH2
PEN2,NOTCH3
PFDN2,SUMO1
PIAS1,NCOA3
PIAS1,PIK3CD
PIAS1,SMAD3
PIAS1,SPEN
PIAS1,STAT1
PIAS1,STAT5B
PIAS1,SUMO2
PIAS3,SMAD1
PIAS4,SMAD3
PIAS4,SMARCC2
PIAS4,STAT5B
PIAS4,SUMO1
PIK3CD,SMAD3
PIK3CD,STAT1
