# Protein-1,# Protein-2
SMAD4,STAT1
SMAD4,TCF3
SMAD4,TP53
SMARCB1,CDKN1A
SMARCB1,MYC
SMARCB1,NCOR1
SMARCB1,SIN3A
SMARCB1,SMARCA4
SMARCB1,SMARCC1
SMARCB1,SMARCC2
SMARCB1,TP53
SMARCB1,VIM
SMARCC1,CREBBP
SMARCC1,FOXO1A
SMARCC1,HDAC2
SMARCC1,HDAC6
SMARCC1,LEF1
SMARCC1,NCOR1
SMARCC1,SMARCA4
SMARCC1,TCF8
SMARCC2,SMARCA4
SMARCC2,SMARCC1
SMARCC2,TBP
SNW1,CDK9
SNW1,CREBBP
SNW1,MYC
SNW1,NCOA2
SNW1,NOTCH2
SNW1,NOTCH3
SNW1,RBL2
SNW1,SMAD2
SNX4,AKT1
SNX4,BTK
SNX4,CDK9
SNX4,CSK
SNX4,FYN
SNX4,JAK1
SNX4,JAK2
SNX6,JAK1
SOCS3,NUP153
SOCS3,RAN
SOCS3,STAT1
SOCS3,STAT3
SP1,CREBBP
SP1,SPEN
SP1,STAT3
SP1,SUMO2
SPEN,STAT1
SPEN,TCF3
STAT1,PAPOLA
STAT1,RAC1
STAT1,RAN
STAT1,STAT3
STAT1,TCF3
STAT1,TP53
STAT3,MYC
STAT3,RAC1
SUMO1,SMARCA4
SUMO1,SUMO2
SVIL,APC
SVIL,WASL
TAB2,NCOR1
TAB2,NFKB1
TAB2,NLK
TAB2,TGFBR2
TBP,SMARCA4
TBP,SMARCB1
TCF3,CREBBP
TCF3,STAT3
TCF3,TP53
TCF8,CREBBP
TGFBR2,CREBBP
TGFBR3,CD44
TGFBR3,ENG
TGFBR3,SDC2
TGFBR3,SMAD2
TGFBR3,SMAD4
TGFBR3,TGFBR2
TIEG2,HDAC6
TIP60,APP
TIP60,FANCD2
TIP60,MYC
TIP60,NCOR1
TIP60,NFKB1
TIP60,STAT3
TIP60,TP53
TP53,NUP153
TP53,RAN
TPL2,AKT1
TPL2,AKT2
TPL2,NFKB1
TPL2,RELA
TRIP,CTNNB1
TRIP,EGFR
TRIP,ETS1
TRIP,SP1
TVL1,KRT7
TVL1,MYC
TVL1,NFYB
UBC9,CASP3
UBC9,DSP
UBC9,JAK2
UBCH5B,BTRC
UBCH5B,CUL1
UBCH5B,RBX1
UBCH5B,SUMO1
UBCH5B,UBE3A
UBCH5C,PFDN2
UBCH5C,PPP2CA
UBCH5C,RAN
UBE3A,MCM7
UBE3A,RBBP7
UBE3A,SAP18
UBE3A,SIN3A
UBE3A,TP53
UBE3A,UBE2D1
UBE3A,UBE2E1
UBE3A,UBE2L3
UNC5CL,NFKB1
UNC5CL,RELA
USP9,SUMO1
USP9,SUMO2
UXT,RPL4
VIM,CREBBP
VIM,PRKAR1A
WASL,APC
WASL,CRK
WASL,RAC1
WASL,SHC1
WASL,STAT3
YES,BTK
YES,CBLB
YES,CSK
YES,CTNND1
YES,EGFR
YES,FYN
YES,MAPK14
YES,RAC1
YY1,PAPOLA
ZIN,STAT3
ZIN,UBE2L3
ZNF216,RELA
