# Protein-1,# Protein-2
HSPA8,STAT5A
HSPA8,STAT5B
HSPA8,WASL
ID1,CREBBP
ID1,ID2
ID2,CREBBP
ID2,MYC
IHH,FADD
IHH,ITGB4
IHH,NOTCH2
IHH,RELA
IKBA,BRCA1
IKBA,CREBBP
IKBA,FAF1
IKBA,FOS
IKBA,HDAC1
IKBA,HDAC2
IKBA,KPNA2
IKBA,MAP2K6
IKBA,PPP2CA
IKBA,RELA
IKBA,SP1
IKBA,STAT1
IKBA,STAT3
IKBA,STAT5A
IKBA,STAT5B
IQGAP2,PSMD4
IQGAP2,RELA
IQGAP2,RGS16
ITGB4,WASL
ITGB4BP,RPL4
ITGB4BP,RPL8
ITGB4BP,WDR12
ITRAF,NFKB1
ITRAF,TRADD
ITRAF,TRAF2
ITRAF,TRAF6
JNK1,CREBBP
JNK1,FOS
JNK1,RAF1
JNK1,SMAD1
JNK1,SMAD2
JNK1,STAT1
JNK1,STAT5A
JNK1,STAT5B
JNK1,TGFBR1
JUNB,CREBBP
JUNB,RELA
JUNB,SMAD1
JUNB,SMAD2
JUNB,STAT1
JUNB,TGFBR1
JUP,APC
JUP,CREBBP
JUP,PPP2CA
KPNA2,APC
KPNA2,CREBBP
KPNA2,KPNB1
KPNA2,MYB
KPNA2,PIK3CD
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD2
KPNA2,SMAD4
KPNA2,SPEN
KPNA2,STAT1
KPNA2,STAT2
KPNA2,TP53
KPNA2,VDR
KPNB1,ABL1
KPNB1,CREBBP
KPNB1,LAMR1
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMAD2
KPNB1,SMARCC2
KPNB1,STAT1
KPNB1,STAT5A
KPNB1,TRAF2
KRT8,KRT18
KRT8,RAF1
KRT18,NRAS
KRT18,RAF1
KRT18,RIPK1
LAMR1,CREBBP
LAMR1,PSMC2
LAMR1,RAN
LAMR1,RPL4
LAMR1,RPL8
LAMR1,TP53
LFNG,DLL4
LFNG,NOTCH2
LIP1,FADD
LIP1,PPP2CA
MAML1,CCND1
MAML1,CTNNB1
MAML1,DLL4
MAML1,NOTCH2
MAML1,SNW1
MAML1,TP53
MBP,CDC42
MBP,CREBBP
MBP,MBP
MBP,NRAS
MBP,RAC1
MCM5,MCM7
MCM5,SMAD2
MCM5,STAT1
MCM5,TFDP1
MCM7,TFDP1
MCM7,TRAF2
MEK1,AKT1
MEK1,CDC42
MEK1,MAP2K6
MEK1,RAF1
MEK1,SMAD2
MEK2,MAP2K6
MEK3,ATF2
MEK3,MAP2K6
MEK3,NFKB1
MEK3,RAC1
MEK3,RIPK1
MEK3,TAB1
MEK3,TAB2
MEK3,TP53
MEK3,TRADD
MEK3,TRAF6
MEK5,FOS
MEK5,STAT3
MIG6,RPL30
MIG6,RPL4
MIG6,RPL6
MIG6,RPL8
MIG6,RPS11
MIG6,UXT
MIZ1,CCND1
MIZ1,CDKN1A
MIZ1,ITGA6
MIZ1,MYC
MIZ1,SHC1
MIZ1,SMAD2
MIZ1,SMAD4
MIZ1,SP1
MTA2,RBBP7
MYB,SMAD2
MYB,STAT1
NCOR1,TBP
NIK,AKT1
NIK,CASP2
NIK,FADD
NIK,HSPA8
NIK,MBP
NIK,NFKB1
NIK,RELA
NIK,RIPK1
NIK,SP1
NIK,TP53
NIK,TRADD
NIK,TRAF2
NIK,TRAF6
NKD1,AXIN1
NKD1,CTNNB1
NKD1,DAAM1
NKD1,DVL3
NKD1,FOS
NKD1,PPP2CA
NKD1,VANGL2
NKIRAS2,AKT1
NKIRAS2,CDK6
NKIRAS2,CTNNB1
NKIRAS2,NFKB1
NKIRAS2,PSMD3
NKIRAS2,RELA
NKIRAS2,TRAF2
NKIRAS2,TRAF6
NOTCH2,PLCG1
NRAS,NRAS
NRAS,PRKCA
NRAS,RAF1
NRAS,RALGDS
NSMAF,GRB10
NSMAF,TRADD
NSMAF,TRAF2
OTF1,BRCA1
OTF1,POLR2L
OTF1,SP1
OTF1,TBP
P70S6K,CUL1
P70S6K,SKP1
P70S6K,SMAD4
PAPOLA,CREBBP
PAPOLA,CTBP1
PAPOLA,CUL1
PAPOLA,KPNB1
PARD3,RAF1
PATZ,NCOR1
PATZ,RNF4
PEN2,APH1A
PEN2,APP
PEN2,CTNNB1
PEN2,DLL4
PEN2,NOTCH2
PEN2,PLD1
PEN2,TRAF6
PIAS4,CREBBP
PIAS4,SMARCC2
PIAS4,STAT5A
PIAS4,STAT5B
PIK3CA,AKT1
PIK3CA,AKT2
PIK3CA,CCND1
PIK3CA,CTNNB1
PIK3CA,ERBB2
PIK3CA,HRAS
PIK3CA,NRAS
PIK3CA,PRKCD
PIK3CA,RAC1
PIK3CA,RELA
PIK3CA,SHC1
PIK3CA,STAT3
PIK3CA,TP53
PIK3CD,SMAD2
PIK3CD,STAT1
PLCE1,HRAS
PLCE1,PIK3C2B
PLCE1,PIK3CD
PLCE1,PLCG1
PLCG1,PLD2
PLCG1,PTK2
PLCG1,PTK6
PLD1,PLD2
PLD2,RAC1
PLEC1,CREBBP
PPP2CA,CREBBP
PPP2CA,STAT1
PPP2CA,STAT3
PPP2CA,STAT5A
PPP2CA,STAT5B
PRKCA,STAT5A
PRKCA,STAT5B
PRKCA,TGFBR1
PSMB5,PSMD4
PSMC2,PSMC3
PSMC2,PSMD1
PSMC2,PSMD13
PSMC2,PSMD3
PSMC2,PSMD4
